,номер темы,тема
41,0,УШМ
43,1,УШМ аккумуляторная
36,2,бензорез
42,3,бур для перфоратора
150,4,виброплита
134,5,вопрос по режиму работы
17,6,газовый баллон
371,7,газонокосилка
15,8,гвоздезабивной пистолет по бетону
63,9,гвоздезабивной пистолет по дереву
25,10,генератор
29,11,дрель-шуруповерт
146,12,жираф
293,13,заклепочник
7,14,краскопульт
144,15,лазерный уровень
8,16,лестница
34,17,лобзик
12,18,машина полировальная
68,19,миксер
4,20,не вопрос клиента
11,21,нет такого инструмента
123,22,отбойный молоток
5,23,паркетно-шлифовальная машина
54,24,паяльник для ПВХ труб
6,25,перфоратор
119,26,пила дисковая
2,27,плиткорез ручной
26,28,пресс для труб РЕ-Х
16,29,пушка газовая
1,30,пылесос
283,31,рейсмус
266,32,реноватор
14,33,сабельная пила
24,34,сварочный аппарат
27,35,сварочный полуавтомат
274,36,степлер
33,37,торцовочная пила
354,38,триммер
3,39,фен
159,40,фрезер
167,41,шлифовальная машина
109,42,штроборез
0,43,шуруповерт
