тема;текст;;;;;;;;;;;;;;;;;;;;;;;
шуруповерт;добрый вечер! подскажите, у вас можно взять в аренду шурповерт?;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Здравствуйте) сколько стоит аренда строительного пылесоса на сутки?;;;;;;;;;;;;;;;;;;;;;;;
плиткорез ручной;Доброе утро. Подскажите пожалуйста в какую цену у вас следующие инструменты: плиткорез ручной 60 см, реноватор, вибратор для плитки.;;;;;;;;;;;;;;;;;;;;;;;
фен;Доброе утро Есть строительный фен на аккумуляторной батареи?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый день;;;;;;;;;;;;;;;;;;;;;;;
паркетно-шлифовальная машина;Добрый день! хочу обновить деревянный пол на даче. У вас есть циклевочная машина?;;;;;;;;;;;;;;;;;;;;;;;
перфоратор;Здравствуйте, подскажите, пожалуйста, сколько у вас стоит аренда дрели с микроударом + алмазная коронка на 72 мм, строительный пылесос, штроборез, гвоздезабивной пистолет, перфоратор на сутки?;;;;;;;;;;;;;;;;;;;;;;;
краскопульт;Здравствуйте, есть краскопульт для эмали?;;;;;;;;;;;;;;;;;;;;;;;
лестница;Какая стоимость аренды стремянки ?;;;;;;;;;;;;;;;;;;;;;;;
не вопрос клиента;Добрый день! Есть склад 300-1000м² в центре СПб. Подходит для хранения товарных запасов — можно разместить и держать длительно. Без интенсивного трафика, доступ 24/7. Если ищете склад — могу отправить информацию.;;;;;;;;;;;;;;;;;;;;;;;
пылесос;Добрый день!  Сколько стоит взять в аренду строительный пылесос на сутки? Спасибо;;;;;;;;;;;;;;;;;;;;;;;
нет такого инструмента;Здравствуйте аргон есть ?;;;;;;;;;;;;;;;;;;;;;;;
машина полировальная;Добрый день. Есть у вас в аренду полировальная машинка? Если есть, то какая цена в сутки, что в комплекте и какой фирмы/модель;;;;;;;;;;;;;;;;;;;;;;;
компрессор;Добрый день! Подскажите, есть ли у вас компрессор в аренду?;;;;;;;;;;;;;;;;;;;;;;;
сабельная пила;Здравствуйте,у вас есть сабельная пила?;;;;;;;;;;;;;;;;;;;;;;;
гвоздезабивной пистолет по бетону;Здравствуйте, у вас есть монтажный пистолет Toya для электромонтажа? И можно ли будет сегодня его взять в аренду?;;;;;;;;;;;;;;;;;;;;;;;
пушка газовая;Здравствуйте а сколько стоит аренда газовой пушки большой?;;;;;;;;;;;;;;;;;;;;;;;
газовый баллон;Здравствуйте а сколько стоит аренда газовой с балоном?;;;;;;;;;;;;;;;;;;;;;;;
резчик швов;Добрый день, ищём кожух для ШВОНАРЕЗЧИКа  GROST FS500 HC. Можно б/у. Может можете предложить? Спасибо.;;;;;;;;;;;;;;;;;;;;;;;
