,номер темы,тема
906,0,Отбойный молоток
39,1,УШМ
41,2,УШМ аккумуляторная
361,3,бензобур
330,4,бензопила
34,5,бензорез
40,6,бур для перфоратора
856,7,вибратор
146,8,виброплита
615,9,воздуходувка
130,10,вопрос по режиму работы
17,11,газовый баллон
364,12,газонокосилка
15,13,гвоздезабивной пистолет по бетону
61,14,гвоздезабивной пистолет по дереву
23,15,генератор
904,16,домкрат бутылочный
876,17,домкрат подкатной
173,18,дрель для алмазного бурения
0,19,дрель-шуруповерт
142,20,жираф
286,21,заклепочник
13,22,компрессор
899,23,коронка по бетону
7,24,краскопульт
299,25,культиватор
140,26,лазерный уровень
218,27,лампа Лосева
8,28,лестница
161,29,лестница-трансформер
32,30,лобзик
12,31,машина полировальная
844,32,металлоискатель
66,33,миксер
497,34,мотопомпа
74,35,моющий пылесос
4,36,не вопрос клиента
126,37,нейлер пневматический
11,38,нет такого инструмента
485,39,осушитель воздуха
119,40,отбойный молоток
5,41,паркетно-шлифовальная машина
28,42,пароочиститель
52,43,паяльник для ПВХ труб
6,44,перфоратор
233,45,перфоратор аккумуляторный
116,46,пила дисковая
287,47,пила ленточная
118,48,пила погружная
281,49,пила цепная аккумуляторная
632,50,пистолет для герметика
2,51,плиткорез ручной
92,52,подъемник ГКЛ
24,53,пресс для труб РЕ-Х
297,54,прогрев бетона
16,55,пушка газовая
789,56,пушка дизельная
436,57,пушка тепловая
249,58,пушка электрическая
1,59,пылесос
18,60,резчик швов
276,61,рейсмус
260,62,реноватор
651,63,рохля
14,64,сабельная пила
97,65,сабельная пила аккумуляторная
22,66,сварочный аппарат
25,67,сварочный полуавтомат
417,68,станок распиловочный
267,69,степлер
279,70,тачка
31,71,торцовочная пила
347,72,триммер
543,73,триммер аккумуляторный
98,74,удлинитель электричексий
821,75,установка алмазного бурения
3,76,фен
105,77,фен аккумуляторный
155,78,фрезер
163,79,шлифовальная машина
636,80,шнек для бензобура
106,81,штроборез
