,номер темы,тема
41,0,УШМ
43,1,УШМ аккумуляторная
368,2,бензобур
337,3,бензопила
36,4,бензорез
42,5,бур для перфоратора
866,6,вибратор
150,7,виброплита
623,8,воздуходувка
134,9,вопрос по режиму работы
17,10,газовый баллон
371,11,газонокосилка
15,12,гвоздезабивной пистолет по бетону
63,13,гвоздезабивной пистолет по дереву
25,14,генератор
914,15,домкрат бутылочный
886,16,домкрат подкатной
177,17,дрель для алмазного бурения
29,18,дрель-шуруповерт
146,19,жираф
293,20,заклепочник
13,21,компрессор
909,22,коронка по бетону
7,23,краскопульт
306,24,культиватор
144,25,лазерный уровень
222,26,лампа Лосева
8,27,лестница
165,28,лестница-трансформер
34,29,лобзик
12,30,машина полировальная
853,31,металлоискатель
68,32,миксер
504,33,мотопомпа
76,34,моющий пылесос
4,35,не вопрос клиента
130,36,нейлер пневматический
11,37,нет такого инструмента
492,38,осушитель воздуха
123,39,отбойный молоток
5,40,паркетно-шлифовальная машина
30,41,пароочиститель
54,42,паяльник для ПВХ труб
6,43,перфоратор
238,44,перфоратор аккумуляторный
119,45,пила дисковая
809,46,пила дисковая аккумуляторная
294,47,пила ленточная
122,48,пила погружная
288,49,пила цепная аккумуляторная
640,50,пистолет для герметика
2,51,плиткорез ручной
94,52,подъемник ГКЛ
26,53,пресс для труб РЕ-Х
304,54,прогрев бетона
16,55,пушка газовая
797,56,пушка дизельная
443,57,пушка тепловая
255,58,пушка электрическая
1,59,пылесос
18,60,резчик швов
283,61,рейсмус
266,62,реноватор
659,63,рохля
14,64,сабельная пила
100,65,сабельная пила аккумуляторная
24,66,сварочный аппарат
27,67,сварочный полуавтомат
424,68,станок распиловочный
274,69,степлер
286,70,тачка
33,71,торцовочная пила
354,72,триммер
551,73,триммер аккумуляторный
101,74,удлинитель электричексий
830,75,установка алмазного бурения
3,76,фен
108,77,фен аккумуляторный
159,78,фрезер
167,79,шлифовальная машина
644,80,шнек для бензобура
109,81,штроборез
0,82,шуруповерт
