Theme;Синонимы
перфоратор;перф
перфоратор;бурильник
виброплита;трамбовка
виброплита;уплотнитель
виброплита;утрамбовщик
виброплита;нога
отбойный молоток;отбойник
отбойный молоток;молот
отбойный молоток;электромолот
отбойный молоток;стенолом
отбойный молоток;асфальтолом
отбойный молоток;бетонолом
генератор;бензогенератор
генератор;электростанция
генератор;дизельный генератор
генератор;гена
плиткорез;резак по плитке
плиткорез;станок для плитки
шуруповерт;дрель-шуруповерт
шуруповерт;дрель
шуруповерт;дрель по металлу
шуруповерт;дрель по дереву
шуруповерт;шурик
ушм;болгарка
ушм;шлифмашина
ушм;угловая шлифмашина
ушм;шлифмашина угловая
штроборез;штробилер
штроборез;бороздодел
штроборез;штрободел
штроборез;штробилёр
штроборез;штробарез
штроборез;штрабарез
триммер;косилка
триммер;мотокоса
триммер;бензокосилка
триммер;бензокоса
триммер;коса бензиновая
триммер;коса с леской
лестница;трансформер
лестница;стремянка
бензобур;ямобур
бензобур;бурильщик
бензобур;бурилка
бензобур;ямобур бензиноый
скарификатор;аэратор
жираф;шлифовальная машина для стен и потолков
жираф;шлифовальная машина для стен
жираф;шлифовальная машина для потолков
мозаично-шлифовальная машина;мозаичная машина
мозаично-шлифовальная машина;фрезер по бетону
мозаично-шлифовальная машина;фрезеровальная машина по бетону
мозаично-шлифовальная машина;фрезеровальная машина для бетона
установка алмазного бурения;установка для алмазного бурения
установка алмазного бурения;установка для бурения
установка алмазного бурения;алмазное бурение
торцовочная пила;торцовка
торцовочная пила;торцеватель
торцовочная пила;торцовщик
торцовочная пила;пила торцевая
торцовочная пила;пила торцовочная
толщиномер;толщиномер ЛКП
толщиномер;измеритель толщины краски
толщиномер;измеритель ЛКП
толщиномер;измеритель краски на машине
толщиномер;измеритель слоя краски
сварочный аппарат;сварочник
сварочный аппарат;сварочный полуавтомат
сварочный аппарат;электро-дуговая сварка
сварочный аппарат;аппарат для сварки
сварочный аппарат;аппарат для электро дуговой сварки
сварочный аппарат;аппарат для электро-дуговой сварки
сабельная пила;пила сабельная
мотопомпа;помпа
мотопомпа;мотопомпа грязевая
мотопомпа;бензопомпа
мотопомпа;мото-помпа
мотопомпа;мотопомпа для грязной воды
мотопомпа;помпа для грязной воды
культиватор;мотокультиватор
культиватор;бензокультиватор
культиватор;мотоблок
культиватор;бензоблок
культиватор;мотобензоблок
культиватор;мото бензо блок
