тема;группа
аргонная сварка;сварка
бак для воды;прочее
баллон газовый для пистолета;прочее
бензобур;сад
бензоножницы;сад
бензопила;сад
бензорез;резка
бур для перфоратора;бурение
вертолет;строительство
вибратор;бетонные
виброплита;строительство
виброрейка;бетонные
воздуходувка;уборка
высоторез;сад
вышка тура;строительство
газовый баллон;прочее
газонокосилка;сад
гайковерт;строительство
гвоздезабивной пистолет по бетону;строительство
гвоздезабивной пистолет по дереву;строительство
генератор;прочее
горелка;строительство
детектор проводки;электрика
домкрат бутылочный;подъем
домкрат подкатной;подъем
дрель для алмазного бурения;бурение
дрель магнитная;бурение
дрель угловая;бурение
дрель ударная;бурение
дрель-шуруповерт;бурение
дровокол;прочее
жираф;отделка
заклепочник;строительство
измельчитель;сад
канистра;прочее
каток для газона;сад
ключ динамометрический;строительство
ключ разводной;строительство
компрессор;прочее
копер;строительство
коронка по бетону;строительство
культиватор;сад
краскопульт;покраска
лазерный уровень;измерение
лампа Лосева;строительство
лебедка ручная;подъем
лестница;строительство
лестница-трансформер;строительство
лобзик;резка
машина полировальная;отделка
машина подметальная;уборка
металлоискатель;строительство
миксер;строительство
мозаично-шлифовальная машина;отделка
мойка;мойка
мотопомпа;прочее
моющий пылесос;уборка
насос дренажный;прочее
насос опрессовочный;трубопровод
нейлер пневматический;строительство
нивелир оптический;измерение
нет такого инструмента;прочее
осушитель воздуха;прочее
отбойный молоток;строительство
паркетно-шлифовальная машина;отделка
пароочиститель;уборка
паяльник для ПВХ труб;трубопровод
перфоратор;бурение
перфоратор аккумуляторный;бурение
пила дисковая;резка
пила дисковая аккумуляторная;резка
пила ленточная;резка
пила монтажная;резка
пила цепная электрическая;сад
пила цепная аккумуляторная;сад
пила погружная;резка
пистолет для герметика;отделка
плазморез;металлообработка
плиткорез ручной;отделка
плиткорез электрический;отделка
подъемник ГКЛ;отделка
пресс клещи;электрика
пресс ручной;прочее
пресс для труб РЕ-Х;трубопровод
присоска;отделка
прогрев бетона;бетонные
пушка газовая;отопление
пушка дизельная;отопление
пушка тепловая;отопление
пушка электрическая;отопление
пылесос;уборка
резчик кровли;кровельные
резчик швов;резка
рейсмус;строительство
реноватор;ремонт
реноватор аккумуляторный;ремонт
робот мойщик окон;мойка
рохля;подъем
рубанок;строительство
рубанок электрический;строительство
сабельная пила;резка
сабельная пила аккумуляторная;резка
сваекрут;строительство
сварочный аппарат;сварка
сварочный полуавтомат;сварка
скарификатор;сад
снегоуборщик;уборка
станок деревообрабатывающий;строительство
станок распиловочный;строительство
степлер;отделка
таль ручная;подъем
тачка;строительство
тепловизор;измерение
толщиномер;измерение
торцовочная пила;резка
торцовочная пила комбинированная;резка
трафарет Солдатова;строительство
триммер;сад
триммер аккумуляторный;сад
труборез;трубопровод
удлинитель электрический;прочее
установка алмазного бурения;бурение
УШМ;строительство
УШМ аккумуляторная;строительство
фен;отделка
фен аккумуляторный;отделка
фрезер;строительство
шиногиб ручной;металлообработка
шлифовальная машина;отделка
шнек для бензобура;сад
штроборез;электрика
шуруповерт;строительство
шуруповерт ленточный;отделка
