тема;группа
бак для воды;прочее
баллон газовый для пистолета;прочее
бензобур;сад
бензоножницы;сад
бензопила;сад
бензорез;Бетонные/железобетонные работы
бур для перфоратора;Бетонные/железобетонные работы
вертолет;Бетонные/железобетонные работы
вибратор;бетонные
виброплита;Земляные и дорожные работы
виброрейка;бетонные
воздуходувка;уборка
высоторез;сад
вышка тура;Подъемно-транспортные работы
газовый баллон;прочее
газонокосилка;сад
гайковерт;Монтажные работы (металл/сварка)
гвоздезабивной пистолет по бетону;Бетонные/железобетонные работы
гвоздезабивной пистолет по дереву;Деревянные конструкции
генератор;прочее
горелка;Кровельные и фасадные работы
детектор проводки;электрика
домкрат бутылочный;подъем
домкрат подкатной;подъем
дрель для алмазного бурения;Бетонные/железобетонные работы
дрель магнитная;Монтажные работы (металл/сварка)
дрель угловая;Общестроительные (универсальные)
дрель ударная;Общестроительные (универсальные)
дрель-шуруповерт;Общестроительные (универсальные)
дровокол;прочее
жираф;отделка
заклепочник;Монтажные работы (металл/сварка)
измельчитель;сад
канистра;прочее
каток для газона;сад
ключ динамометрический;Монтажные работы (металл/сварка)
ключ разводной;Общестроительные (универсальные)
компрессор;прочее
копер;Земляные и дорожные работы
коронка по бетону;Бетонные/железобетонные работы
культиватор;сад
краскопульт;покраска
лазерный уровень;измерение
лампа Лосева;Бетонные/железобетонные работы (прогрев)
лебедка ручная;подъем
лестница;Общестроительные (универсальные)
лестница-трансформер;Общестроительные (универсальные)
лобзик;Деревянные конструкции
машина полировальная;отделка
машина подметальная;уборка
металлоискатель;Измерительный контроль
миксер;Бетонные/железобетонные работы
мозаично-шлифовальная машина;отделка
мойка;мойка
мотопомпа;Общестроительные (универсальные)
моющий пылесос;уборка
насос дренажный;прочее
насос опрессовочный;трубопровод
нейлер пневматический;Деревянные конструкции
нивелир оптический;измерение
нет такого инструмента;прочее
осушитель воздуха;Отделочные работы
отбойный молоток;Демонтажные и разрушительные работы
паркетно-шлифовальная машина;отделка
пароочиститель;уборка
паяльник для ПВХ труб;трубопровод
перфоратор;Общестроительные (универсальные)
перфоратор аккумуляторный;Общестроительные (универсальные)
пила дисковая;Деревянные конструкции
пила дисковая аккумуляторная;Деревянные конструкции
пила ленточная;Деревянные конструкции
пила монтажная;Деревянные конструкции
пила цепная электрическая;сад
пила цепная аккумуляторная;сад
пила погружная;Деревянные конструкции
пистолет для герметика;отделка
плазморез;металлообработка
плиткорез ручной;отделка
плиткорез электрический;отделка
подъемник ГКЛ;отделка
пресс клещи;электрика
пресс ручной;прочее
пресс для труб РЕ-Х;трубопровод
присоска;отделка
прогрев бетона;бетонные
пушка газовая;отопление
пушка дизельная;отопление
пушка тепловая;отопление
пушка электрическая;отопление
пылесос;уборка
резчик кровли;кровельные
резчик швов;Бетонные/железобетонные работы
рейсмус;Деревянные конструкции
реноватор;ремонт
реноватор аккумуляторный;ремонт
робот мойщик окон;мойка
рохля;подъем
рубанок;Деревянные конструкции
рубанок электрический;Деревянные конструкции
сабельная пила;Демонтажные работы / общестроительные
сабельная пила аккумуляторная;Демонтажные работы / общестроительные
сваекрут;Земляные работы
сварочный аппарат;сварка
сварочный полуавтомат;сварка
скарификатор;сад
снегоуборщик;уборка
станок деревообрабатывающий;Деревянные конструкции
станок распиловочный;Деревянные конструкции
степлер;отделка
таль ручная;подъем
тачка;Общестроительные (универсальные)
тепловизор;измерение
толщиномер;измерение
торцовочная пила;Деревянные конструкции
торцовочная пила комбинированная;Деревянные конструкции
трафарет Солдатова;прочее
триммер;сад
триммер аккумуляторный;сад
труборез;трубопровод
удлинитель электрический;прочее
установка алмазного бурения;Бетонные/железобетонные работы
УШМ;Общестроительные (универсальные)
УШМ аккумуляторная;Общестроительные (универсальные)
фен;отделка
фен аккумуляторный;отделка
фрезер;Деревянные конструкции
шиногиб ручной;металлообработка
шлифовальная машина;отделка
шнек для бензобура;сад
штроборез;электрика
шуруповерт;Общестроительные (универсальные)
шуруповерт ленточный;отделка
